feature_id,feature_name,syllable_class,pval,pval_fdr,significant
2,proxy-inter-leg-dist,4,0.0116115778959029,0.0365764703720942,True
10,angle_vel_medial_left,7,0.00588467182083311,0.0195123328796045,True
42,freq_dist_left,7,3.84688131804505E-06,2.42353523036838E-05,True
42,freq_dist_left,2,9.63394748943566E-06,5.05782243195372E-05,True
42,freq_dist_left,4,0.000391779712892316,0.00145188952424799,True
43,freq_dist_right,7,8.91804234312008E-06,5.05782243195372E-05,True
43,freq_dist_right,2,3.16410887053445E-06,2.21487620937412E-05,True
43,freq_dist_right,4,0.000488568990529104,0.00170999146685186,True
44,freq_med_left,7,1.63856832529299E-06,1.29037255616823E-05,True
44,freq_med_left,2,5.05693732316615E-05,0.000212391367572978,True
44,freq_med_left,4,0.000232516499988411,0.000915533718704369,True
45,freq_med_right,7,2.56008505115899E-05,0.000124065660171551,True
45,freq_med_right,2,4.73959338978473E-12,7.46485958891096E-11,True
45,freq_med_right,4,2.8486708572289E-05,0.000128190188575301,True
46,freq_proxy_left,7,6.46391993783607E-11,6.78711593472787E-10,True
46,freq_proxy_left,2,6.86617570569129E-13,1.44189689819517E-11,True
46,freq_proxy_left,4,4.89445804958029E-11,6.16701714247117E-10,True
47,freq_proxy_right,7,1.4640506499561E-08,1.31764558496049E-07,True
47,freq_proxy_right,2,4.40767772163437E-18,2.77683696462965E-16,True
47,freq_proxy_right,4,4.19423257555551E-14,1.32118326129999E-12,True
